Class,Alcohol,Alcalinity of ash,Total phenols,Flavanoids,Color intensity,Hue,Proline
3,13.62,20,2,0.8,4.4,0.91,550
3,12.25,18.5,1.38,0.78,8.21,0.65,855
3,13.16,21,1.5,0.55,4,0.6,830
3,13.88,20,0.98,0.34,4.9,0.58,415
3,12.87,21.5,1.7,0.65,7.65,0.54,625
3,13.32,21.5,1.93,0.76,8.42,0.55,650
3,13.08,21.5,1.41,1.39,9.4,0.57,550
3,13.5,24,1.4,1.57,8.6,0.59,500
3,12.79,22,1.48,1.36,10.8,0.48,480
3,13.11,25.5,2.2,1.28,7.1,0.61,425
3,13.23,18.5,1.8,0.83,10.52,0.56,675
3,12.58,20,1.48,0.58,7.6,0.58,640
3,13.17,22,1.74,0.63,7.9,0.6,725
3,13.84,19.5,1.8,0.83,9.01,0.57,480
3,12.45,27,1.9,0.58,7.5,0.67,880
3,14.34,25,2.8,1.31,13,0.57,660
3,13.48,22.5,2.6,1.1,11.75,0.57,620
3,12.36,21,2.3,0.92,7.65,0.56,520
3,13.69,20,1.83,0.56,5.88,0.96,680
3,12.85,22,1.65,0.6,5.58,0.87,570
3,12.96,18.5,1.39,0.7,5.28,0.68,675
3,13.78,22,1.35,0.68,9.58,0.7,615
3,13.73,22.5,1.28,0.47,6.62,0.78,520
3,13.45,23,1.7,0.92,10.68,0.85,695
3,12.82,19.5,1.48,0.66,10.26,0.72,685
3,13.58,24.5,1.55,0.84,8.66,0.74,750
3,13.4,25,1.98,0.96,8.5,0.67,630
3,12.2,19,1.25,0.49,5.5,0.66,510
3,12.77,19.5,1.39,0.51,9.899999,0.57,470
3,14.16,20,1.68,0.7,9.7,0.62,660
3,13.71,20.5,1.68,0.61,7.7,0.64,740
3,13.4,23,1.8,0.75,7.3,0.7,750
3,13.27,20,1.59,0.69,10.2,0.59,835
3,13.17,20,1.65,0.68,9.3,0.6,840
3,14.13,24.5,2.05,0.76,9.2,0.61,560
